value,corpora,blended_skill_talk/f1,empathetic_dialogues/f1,wizard_of_internet/f1,wizard_of_wikipedia/f1,model
0.12007583491504192,CC,0.12376044690608978,0.10757460445165634,0.13300344347953796,0.1159648448228836,350M
0.1233502347022295,CC,0.11586078256368637,0.1085263341665268,0.141945481300354,0.12706834077835083,350M
0.12642222456634045,CC,0.13226890563964844,0.11136100441217422,0.14258351922035217,0.11947546899318695,350M
0.11903207562863827,CC,0.11804089695215225,0.10075157880783081,0.13535594940185547,0.12197987735271454,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12071440927684307,CC,0.11950866878032684,0.1093321293592453,0.13102364540100098,0.12299319356679916,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12067342363297939,CC,0.11466293036937714,0.09711196273565292,0.14241011440753937,0.12850868701934814,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12599115818738937,CC,0.12515488266944885,0.11566366255283356,0.13942287862300873,0.12372320890426636,350M
0.12010918743908405,CC,0.12073349952697754,0.10579489171504974,0.13181976974010468,0.12208858877420425,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12054221890866756,CC,0.11449015140533447,0.10247071832418442,0.13827461004257202,0.12693339586257935,350M
0.12173736281692982,CC,0.1312302052974701,0.10571732372045517,0.12975534796714783,0.12024657428264618,350M
0.1216936968266964,CC,0.1165572851896286,0.11176066100597382,0.13960924744606018,0.11884759366512299,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11840008944272995,CC,0.12108059227466583,0.10230103880167007,0.13803739845752716,0.11218132823705673,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1277651395648718,CC,0.13087639212608337,0.11896747350692749,0.1389254480600357,0.12229124456644058,350M
0.12000061571598053,CC,0.12367706000804901,0.10335807502269745,0.13501009345054626,0.1179572343826294,350M
0.12344552762806416,CC,0.1229320541024208,0.11015131324529648,0.1422496736049652,0.11844906955957413,350M
0.11998334713280201,CC,0.11672937870025635,0.10845853388309479,0.13101014494895935,0.12373533099889755,350M
0.12429660931229591,CC,0.12704895436763763,0.11590498685836792,0.12896469235420227,0.12526780366897583,350M
0.1240443792194128,CC,0.12744197249412537,0.10739941895008087,0.13960464298725128,0.1217314824461937,350M
0.11829604767262936,CC,0.11736921221017838,0.10393885523080826,0.1301436722278595,0.1217324510216713,350M
0.117659917101264,CC,0.11960345506668091,0.0978834480047226,0.1372789740562439,0.1158737912774086,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11955682002007961,CC,0.11440764367580414,0.10128425061702728,0.14437951147556305,0.11815587431192398,350M
0.12103766575455666,CC,0.1234774962067604,0.09958935528993607,0.13826659321784973,0.12281721830368042,350M
0.12152897194027901,CC,0.12137265503406525,0.10813114792108536,0.13878457248210907,0.11782751232385635,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1199430488049984,CC,0.12236928939819336,0.10049603134393692,0.13900922238826752,0.1178976520895958,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1186433732509613,CC,0.11342664808034897,0.10052160173654556,0.1355591118335724,0.1250661313533783,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11791166663169861,CC,0.11562307924032211,0.10080365836620331,0.13825340569019318,0.11696652323007584,350M
0.11757239513099194,CC,0.11835218966007233,0.09883804619312286,0.1387634128332138,0.11433593183755875,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11837373115122318,CC,0.11678280681371689,0.10606354475021362,0.1281166970729828,0.12253187596797943,350M
0.11901284754276276,CC,0.11966155469417572,0.10231256484985352,0.13551932573318481,0.11855794489383698,350M
0.11919950693845749,CC,0.11801005899906158,0.1090565174818039,0.13269813358783722,0.11703331768512726,350M
0.12157595530152321,CC,0.11906646192073822,0.10085912048816681,0.14209485054016113,0.12428338825702667,350M
0.11892448551952839,CC,0.12212900817394257,0.09530583769083023,0.13709799945354462,0.12116509675979614,350M
