corpora,index,epoch,average,model,ai2_arc_ARC-Challenge/acc,ai2_arc_ARC-Easy/acc,hellaswag/acc,math_qa/acc,piqa/acc,pubmed_qa/acc,super_glue_copa/acc,winogrande_winogrande_s/acc
TDEC,39,4,0.5175251625478268,2.7B,0.2745762765407562,0.565625011920929,0.4281249940395355,0.22812500596046448,0.7281249761581421,0.5843750238418579,0.75,0.581250011920929
TDEC,44,7,0.5201814137399197,2.7B,0.2745762765407562,0.550000011920929,0.421875,0.203125,0.7250000238418579,0.5874999761581421,0.7900000214576721,0.609375
TDEC,27,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,71,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,34,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,40,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,78,4,0.5214857086539268,2.7B,0.2881355881690979,0.5687500238418579,0.4281249940395355,0.22499999403953552,0.7250000238418579,0.5843750238418579,0.7400000095367432,0.612500011920929
TDEC,90,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,22,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,56,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,93,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,2,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,33,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,13,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,80,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,57,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,81,7,0.5211639292538166,2.7B,0.2711864411830902,0.5687500238418579,0.43437498807907104,0.21875,0.737500011920929,0.581250011920929,0.7699999809265137,0.5874999761581421
TDEC,85,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,18,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,84,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,91,3,0.5188082680106163,2.7B,0.27796611189842224,0.581250011920929,0.42500001192092896,0.21250000596046448,0.7281249761581421,0.5843750238418579,0.7599999904632568,0.581250011920929
TDEC,97,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,98,6,0.5180932134389877,2.7B,0.2847457528114319,0.578125,0.4312500059604645,0.19374999403953552,0.7124999761581421,0.581250011920929,0.7599999904632568,0.6031249761581421
TDEC,41,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,73,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,3,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,92,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,70,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,24,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,59,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,0,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,10,8,0.5179277006536722,2.7B,0.2677966058254242,0.574999988079071,0.4312500059604645,0.20000000298023224,0.71875,0.5843750238418579,0.7599999904632568,0.606249988079071
TDEC,6,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
TDEC,67,0,0.5173026993870735,2.7B,0.2677966058254242,0.574999988079071,0.41874998807907104,0.21250000596046448,0.721875011920929,0.5843750238418579,0.7799999713897705,0.578125
